area_type,location,area,bathrooms,balcony,price,bedrooms,price_per_sqft,total_rooms,is_luxury
Super built-up  Area,Thanisandra,1430.0,2.0,2.0,51.46,3.0,0.03598601398601399,5.0,0
Super built-up  Area,Kothannur,1275.0,2.0,2.0,43.85,3.0,0.0343921568627451,5.0,0
Super built-up  Area,Electronic City,1070.0,2.0,1.0,56.1,2.0,0.05242990654205608,4.0,0
Plot  Area,Bettahalsoor,1200.0,3.0,1.0,85.0,3.0,0.07083333333333333,6.0,1
Plot  Area,Electronic City,2000.0,4.0,0.0,120.0,4.0,0.06,8.0,1
Super built-up  Area,Bommanahalli,1200.0,2.0,2.0,40.0,2.0,0.03333333333333333,4.0,0
Super built-up  Area,Marathahalli,1610.0,3.0,1.0,90.0,3.0,0.055900621118012424,6.0,1
Super built-up  Area,Haralur Road,1140.0,2.0,2.0,43.0,2.0,0.037719298245614034,4.0,0
Super built-up  Area,Raja Rajeshwari Nagar,1143.0,2.0,2.0,38.65,2.0,0.03381452318460192,4.0,0
Super built-up  Area,Rachenahalli,1530.0,2.0,2.0,74.4,3.0,0.04862745098039216,5.0,1
Super built-up  Area,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2.0,0.07040816326530612,4.0,1
Super built-up  Area,Whitefield,1485.0,3.0,2.0,65.0,3.0,0.04377104377104377,6.0,0
Plot  Area,Whitefield,1500.0,3.0,1.0,130.0,3.0,0.08666666666666667,6.0,1
Super built-up  Area,Whitefield,1280.0,2.0,1.0,75.0,2.0,0.05859375,4.0,1
Super built-up  Area,Thanisandra,1265.0,2.0,2.0,85.0,2.0,0.06719367588932806,4.0,1
Built-up  Area,"ECC Road, Whitefield, ",1132.0,2.0,1.0,67.0,2.0,0.05918727915194346,4.0,1
Super built-up  Area,Ashwath Nagar,1262.0,2.0,2.0,63.0,2.0,0.04992076069730586,4.0,0
Super built-up  Area,JP Nagar,940.0,2.0,1.0,49.0,2.0,0.052127659574468084,4.0,0
Super built-up  Area,Seetharampalya,1515.0,3.0,3.0,88.0,3.0,0.058085808580858087,6.0,1
Super built-up  Area,Jigani,1300.0,3.0,3.0,150.0,3.0,0.11538461538461539,6.0,1
Built-up  Area,Kothanur,1840.0,3.0,1.0,69.0,3.0,0.0375,6.0,1
Built-up  Area,Electronic City,890.0,2.0,2.0,45.0,2.0,0.05056179775280899,4.0,0
Super built-up  Area,Rukmaiah Layout,1655.0,3.0,2.0,86.06,3.0,0.052000000000000005,6.0,1
Super built-up  Area,Hennur Road,2060.0,3.0,1.0,149.0,3.0,0.07233009708737864,6.0,1
Super built-up  Area,Bommanahalli,1730.0,3.0,1.0,96.0,3.0,0.055491329479768786,6.0,1
Built-up  Area,Yelahanka,2195.0,4.0,2.0,127.0,3.0,0.05785876993166287,7.0,1
Super built-up  Area,Kathriguppe,1650.0,3.0,2.0,125.0,3.0,0.07575757575757576,6.0,1
Plot  Area,KR Puram,1200.0,2.0,0.0,71.0,2.0,0.059166666666666666,4.0,1
Super built-up  Area,Hosa Road,1079.0,2.0,1.0,32.37,2.0,0.03,4.0,0
Super built-up  Area,Panathur,1085.0,2.0,1.0,36.0,2.0,0.03317972350230415,4.0,0
Super built-up  Area,Yelahanka,1075.0,2.0,1.0,51.5,2.0,0.04790697674418604,4.0,0
Super built-up  Area,Devanahalli Int. Airport,1380.0,2.0,1.0,80.0,2.0,0.057971014492753624,4.0,1
Super built-up  Area,Puttanahalli,1450.0,3.0,1.0,65.0,3.0,0.04482758620689655,6.0,0
Super built-up  Area,Thubarahalli,1200.0,2.0,2.0,78.0,2.0,0.065,4.0,1
Super built-up  Area,Hoodi,1639.0,3.0,1.0,98.32,3.0,0.05998779743746186,6.0,1
Super built-up  Area,Jakkuru Layout,1200.0,2.0,1.0,54.0,2.0,0.045,4.0,0
Super built-up  Area,Vijayanagar,1739.0,3.0,1.0,116.0,3.0,0.06670500287521564,6.0,1
Super built-up  Area,Old Madras Road,935.0,2.0,1.0,32.72,2.0,0.03499465240641711,4.0,0
Super built-up  Area, Thanisandra,510.0,1.0,1.0,25.25,1.0,0.049509803921568625,2.0,0
Plot  Area,Devasandra Extension,1200.0,6.0,3.0,180.0,6.0,0.15,12.0,1
Super built-up  Area,Nagondanahalli,1178.0,2.0,3.0,47.0,2.0,0.039898132427843805,4.0,0
Built-up  Area,Chikkalasandra,1375.0,2.0,1.0,50.0,3.0,0.03636363636363636,5.0,0
Super built-up  Area,Chandapura,1065.0,2.0,1.0,33.0,3.0,0.030985915492957747,5.0,0
Super built-up  Area,2nd Phase Judicial Layout,1450.0,2.0,1.0,50.75,3.0,0.035,5.0,0
Built-up  Area,BEML Layout,999.0,2.0,3.0,45.0,2.0,0.04504504504504504,4.0,0
Plot  Area,Marathahalli,1350.0,4.0,1.0,135.0,5.0,0.1,9.0,1
Built-up  Area,Kothannur,1100.0,2.0,2.0,40.0,2.0,0.03636363636363636,4.0,0
Super built-up  Area,Koramangala,1835.0,2.0,3.0,155.0,3.0,0.08446866485013624,5.0,1
Super built-up  Area,Hoodi,2090.0,4.0,0.0,95.1,4.0,0.04550239234449761,8.0,1
Super built-up  Area,Lingadheeranahalli,1519.0,3.0,1.0,93.0,3.0,0.061224489795918366,6.0,1
Built-up  Area,Dommasandra,1267.0,3.0,2.0,56.0,3.0,0.04419889502762431,6.0,0
Super built-up  Area,Sanjay nagar,1150.0,2.0,3.0,72.2,2.0,0.06278260869565218,4.0,1
Super built-up  Area,Marathahalli,1146.0,2.0,1.0,70.0,2.0,0.06108202443280977,4.0,1
Built-up  Area,Kannamangala,1550.0,3.0,3.0,65.0,3.0,0.041935483870967745,6.0,0
Built-up  Area,Chandapura,850.0,1.0,1.0,18.5,2.0,0.02176470588235294,3.0,0
Super built-up  Area,Richmond Town,2200.0,3.0,1.0,187.0,3.0,0.085,6.0,1
Carpet  Area,Electronics City Phase 1,785.0,1.0,1.0,55.0,1.0,0.07006369426751592,2.0,0
Built-up  Area,Raja Rajeshwari Nagar,1610.0,3.0,2.0,74.0,3.0,0.04596273291925466,6.0,1
Super built-up  Area,Bellandur,921.0,2.0,2.0,40.0,2.0,0.04343105320304017,4.0,0
Plot  Area,Kengeri Satellite Town,850.0,3.0,2.0,95.0,3.0,0.11176470588235295,6.0,1
Built-up  Area,Bannerghatta Road,2700.0,5.0,0.0,158.0,5.0,0.05851851851851852,10.0,1
Super built-up  Area,Sarjapur  Road,1700.0,3.0,3.0,110.0,3.0,0.06470588235294118,6.0,1
Built-up  Area,Sarjapur,1020.0,2.0,2.0,35.0,2.0,0.03431372549019608,4.0,0
Super built-up  Area,Billekahalli,1090.0,2.0,3.0,52.0,2.0,0.047706422018348627,4.0,0
Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2.0,0.042843232716650435,4.0,0
Super built-up  Area,Thanisandra,1185.0,2.0,2.0,42.1,2.0,0.03552742616033756,4.0,0
Super built-up  Area,Doddathoguru,850.0,2.0,1.0,25.0,2.0,0.029411764705882353,4.0,0
Built-up  Area,Harlur,1197.0,2.0,1.0,84.0,2.0,0.07017543859649122,4.0,1
Super built-up  Area,Poorna Pragna Layout,920.0,2.0,2.0,39.55,2.0,0.042989130434782606,4.0,0
Super built-up  Area,Raja Rajeshwari Nagar,1105.0,2.0,1.0,65.0,2.0,0.058823529411764705,4.0,0
Super built-up  Area,Yeshwanthpur,1850.0,3.0,3.0,100.0,3.0,0.05405405405405406,6.0,1
Super built-up  Area,Judicial Layout,1300.0,3.0,1.0,64.0,3.0,0.04923076923076923,6.0,0
Built-up  Area,"Varthur Road, ",1595.0,3.0,2.0,76.0,3.0,0.04764890282131661,6.0,1
Built-up  Area,Horamavu Agara,755.0,2.0,1.0,37.49,2.0,0.04965562913907285,4.0,0
Built-up  Area,Nagasandra,4050.0,5.0,2.0,140.0,5.0,0.0345679012345679,10.0,1
Super built-up  Area,Kanakpura Road,1300.0,2.0,3.0,69.0,3.0,0.05307692307692308,5.0,1
Built-up  Area,Bannerghatta Road,1215.0,2.0,0.0,50.0,2.0,0.0411522633744856,4.0,0
Super built-up  Area,Kanakpura Road,900.0,2.0,1.0,46.0,2.0,0.051111111111111114,4.0,0
Super built-up  Area,Banashankari Stage III,1145.0,2.0,3.0,58.4,2.0,0.05100436681222707,4.0,0
Super built-up  Area,Chikka Banaswadi,1093.0,2.0,2.0,65.0,2.0,0.059469350411710885,4.0,0
Super built-up  Area,Babusapalaya,1213.0,2.0,2.0,41.39,3.0,0.034122011541632316,5.0,0
Super built-up  Area,Bannerghatta Road,1654.0,3.0,2.0,100.0,3.0,0.060459492140266025,6.0,1
Super built-up  Area,NGR Layout,1105.0,2.0,1.0,52.48,2.0,0.04749321266968325,4.0,0
Super built-up  Area,Babusapalaya,1611.0,2.0,2.0,66.0,3.0,0.040968342644320296,5.0,0
Built-up  Area,Outer Ring Road East,1367.0,2.0,2.0,62.0,2.0,0.04535479151426482,4.0,0
Super built-up  Area,Devanahalli,1010.0,2.0,1.0,51.0,2.0,0.0504950495049505,4.0,0
Plot  Area,Kavika Layout,750.0,2.0,1.0,75.0,3.0,0.1,5.0,1
Carpet  Area,Vinayaka Nagar,1535.0,3.0,1.0,95.0,3.0,0.06188925081433225,6.0,1
Super built-up  Area,Anekal,620.0,2.0,1.0,22.0,2.0,0.035483870967741936,4.0,0
Built-up  Area,Horamavu Agara,982.0,2.0,1.0,47.65,2.0,0.048523421588594705,4.0,0
Super built-up  Area,Banashankari Stage II,1700.0,2.0,2.0,150.0,2.0,0.08823529411764706,4.0,1
Super built-up  Area,Whitefield,1330.0,2.0,1.0,71.0,2.0,0.05338345864661654,4.0,1
Built-up  Area,JP Nagar,2500.0,3.0,2.0,135.0,3.0,0.054,6.0,1
Super built-up  Area,Poorna Pragna Layout,1475.0,2.0,2.0,58.99,3.0,0.03999322033898305,5.0,0
Super built-up  Area,Bhoganhalli,1410.0,3.0,1.0,65.0,3.0,0.04609929078014184,6.0,0
Super built-up  Area,Yelahanka New Town,440.0,1.0,1.0,16.5,1.0,0.0375,2.0,0
Super built-up  Area,Yelahanka,1614.0,3.0,2.0,95.0,3.0,0.05885997521685254,6.0,1
Super built-up  Area,Neeladri Nagar,1363.0,2.0,2.0,68.0,2.0,0.049889948642699924,4.0,1
Built-up  Area,Kogilu,650.0,2.0,0.0,28.0,2.0,0.043076923076923075,4.0,0
Super built-up  Area,Dodda Kempaiah Layout,1015.0,2.0,1.0,45.0,2.0,0.04433497536945813,4.0,0
Super built-up  Area,Horamavu Banaswadi,1156.0,2.0,2.0,46.0,2.0,0.039792387543252594,4.0,0
Super built-up  Area,Hennur Busstop,1100.0,2.0,1.0,62.7,2.0,0.057,4.0,0
Super built-up  Area,KR Puram,1455.0,3.0,2.0,46.0,3.0,0.03161512027491409,6.0,0
Super built-up  Area,GB Palya,930.0,2.0,1.0,45.0,2.0,0.04838709677419355,4.0,0
Built-up  Area,AMS Layout,1650.0,2.0,2.0,80.0,3.0,0.048484848484848485,5.0,1
Built-up  Area,KR Puram,1200.0,2.0,0.0,90.0,2.0,0.075,4.0,1
Plot  Area,9th Block Jayanagar,700.0,1.0,0.0,150.0,1.0,0.21428571428571427,2.0,1
Super built-up  Area,Karuna Nagar,2900.0,3.0,0.0,135.0,4.0,0.04655172413793104,7.0,1
Super built-up  Area,Kadugodi,1890.0,4.0,3.0,127.0,3.0,0.0671957671957672,7.0,1
Super built-up  Area,Gaurava Nagar,1240.0,2.0,2.0,46.0,3.0,0.037096774193548385,5.0,0
Built-up  Area,HRBR Layout,1440.0,2.0,2.0,98.0,2.0,0.06805555555555555,4.0,1
Super built-up  Area,Kodichikkanahalli,650.0,1.0,2.0,38.0,1.0,0.05846153846153846,2.0,0
Super built-up  Area,Budigere,764.0,1.0,1.0,32.0,1.0,0.041884816753926704,2.0,0
Plot  Area,Sector 7 HSR Layout,900.0,4.0,0.0,90.0,5.0,0.1,9.0,1
Super built-up  Area,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3.0,0.0338984051978736,6.0,0
Built-up  Area,Hoodi,1445.0,3.0,2.0,65.0,3.0,0.04498269896193772,6.0,0
Super built-up  Area,Kanakpura Road,900.0,1.0,0.0,45.0,2.0,0.05,3.0,0
Super built-up  Area,Singasandra,1030.0,2.0,0.0,55.0,2.0,0.05339805825242718,4.0,0
Super built-up  Area,Yelahanka,1381.0,2.0,2.0,52.48,3.0,0.03800144822592324,5.0,0
Built-up  Area,Basapura,1100.0,2.0,1.0,60.0,2.0,0.05454545454545454,4.0,0
Super built-up  Area,Hoodi,1575.0,3.0,2.0,66.39,3.0,0.042152380952380955,6.0,1
Plot  Area,Thigalarapalya,1200.0,2.0,1.0,65.0,2.0,0.05416666666666667,4.0,0
Super built-up  Area,Begur Road,1200.0,2.0,2.0,43.2,2.0,0.036000000000000004,4.0,0
Super built-up  Area,Kasturi Nagar,1080.0,2.0,2.0,80.0,2.0,0.07407407407407407,4.0,1
Plot  Area,Hebbal Kempapura,2280.0,5.0,2.0,200.0,5.0,0.08771929824561403,10.0,1
Super built-up  Area,Akshaya Nagar,1360.0,2.0,2.0,85.0,3.0,0.0625,5.0,1
Super built-up  Area,Jakkur,1865.0,3.0,1.0,124.0,3.0,0.06648793565683646,6.0,1
Super built-up  Area,Sarjapur  Road,1157.0,2.0,1.0,75.0,3.0,0.06482281763180639,5.0,1
Super built-up  Area,Kammasandra,674.0,2.0,1.0,29.0,2.0,0.04302670623145401,4.0,0
Super built-up  Area,Whitefield,1405.0,2.0,1.0,78.0,3.0,0.05551601423487545,5.0,1
Super built-up  Area,Begur Road,1160.0,2.0,2.0,44.08,2.0,0.038,4.0,0
Plot  Area,Kengeri Satellite Town ( BDA SITE),1600.0,3.0,1.0,172.0,4.0,0.1075,7.0,1
Super built-up  Area,Hebbal,1790.0,3.0,2.0,127.0,3.0,0.07094972067039106,6.0,1
Super built-up  Area,Electronic City,1128.0,2.0,1.0,65.65,2.0,0.05820035460992908,4.0,0
Super built-up  Area,Panathur,1180.0,2.0,1.0,70.0,2.0,0.059322033898305086,4.0,1
Built-up  Area,AGS Layout,1450.0,2.0,2.0,85.0,3.0,0.05862068965517241,5.0,1
Built-up  Area,Kengeri,340.0,1.0,1.0,10.0,1.0,0.029411764705882353,2.0,0
Built-up  Area,Srinagar,2000.0,3.0,1.0,166.0,4.0,0.083,7.0,1
Super built-up  Area,Rachenahalli,1050.0,2.0,2.0,53.5,2.0,0.05095238095238095,4.0,0
Super built-up  Area,Varthur,1125.0,2.0,2.0,40.0,2.0,0.035555555555555556,4.0,0
Super built-up  Area,Vittasandra,1246.0,2.0,1.0,68.0,2.0,0.05457463884430177,4.0,1
Super built-up  Area,HSR Layout,1372.0,2.0,1.0,61.0,2.0,0.04446064139941691,4.0,0
Super built-up  Area,Uttarahalli,1330.0,2.0,1.0,56.0,3.0,0.042105263157894736,5.0,0
Super built-up  Area,Dasarahalli,1300.0,2.0,3.0,55.0,2.0,0.04230769230769231,4.0,0
Plot  Area,Brigade Road,1420.0,1.0,0.0,220.0,2.0,0.15492957746478872,3.0,1
Plot  Area,Bannerghatta,810.0,4.0,1.0,50.0,4.0,0.06172839506172839,8.0,0
Super built-up  Area,Channasandra,1065.0,2.0,1.0,35.0,2.0,0.03286384976525822,4.0,0
Built-up  Area,Hessarghatta,700.0,2.0,0.0,27.0,2.0,0.03857142857142857,4.0,0
Carpet  Area,Hebbal,687.325,2.0,0.0,42.72,2.0,0.062154002837085796,4.0,0
Super built-up  Area,Belathur,1050.0,2.0,1.0,45.0,2.0,0.04285714285714286,4.0,0
Super built-up  Area,Maruthi HBCS Layout,1250.0,3.0,3.0,39.5,3.0,0.0316,6.0,0
Built-up  Area,Electronic City,865.0,2.0,0.0,42.0,2.0,0.048554913294797684,4.0,0
Super built-up  Area,Uttarahalli,1200.0,2.0,2.0,44.0,2.0,0.03666666666666667,4.0,0
Built-up  Area,Srirampura,1756.0,3.0,3.0,100.0,3.0,0.05694760820045558,6.0,1
Plot  Area,Malleshwaram,750.0,8.0,3.0,150.0,9.0,0.2,17.0,1
Super built-up  Area,Yelahanka,628.0,1.0,1.0,24.0,1.0,0.03821656050955414,2.0,0
Plot  Area,9th Phase JP Nagar,1200.0,6.0,2.0,195.0,7.0,0.1625,13.0,1
Super built-up  Area,5th Phase JP Nagar,1207.0,2.0,2.0,63.0,2.0,0.05219552609776305,4.0,0
Super built-up  Area,Kalena Agrahara,1765.0,3.0,1.0,125.0,3.0,0.0708215297450425,6.0,1
Built-up  Area,Electronic City,1130.0,2.0,1.0,32.64,2.0,0.02888495575221239,4.0,0
Super built-up  Area,Devanahalli Road,1532.0,3.0,3.0,92.0,3.0,0.06005221932114883,6.0,1
Built-up  Area,Ejipura,1650.0,3.0,0.0,110.0,3.0,0.06666666666666667,6.0,1
Built-up  Area,Horamavu Banaswadi,1200.0,4.0,2.0,105.0,4.0,0.0875,8.0,1
Carpet  Area,Bhoganhalli,804.1,2.0,1.0,69.09,2.0,0.08592214898644447,4.0,1
Super built-up  Area,Doddathoguru,1200.0,2.0,2.0,75.0,2.0,0.0625,4.0,1
Super built-up  Area,Kengeri,1197.0,2.0,2.0,50.0,2.0,0.04177109440267335,4.0,0
Built-up  Area,Green Woods Layout,1200.0,2.0,2.0,66.0,2.0,0.055,4.0,0
Super built-up  Area,Uttarahalli,1385.0,2.0,2.0,48.48,3.0,0.035003610108303246,5.0,0
Super built-up  Area,Craig Park Layout,1010.0,2.0,3.0,148.0,2.0,0.14653465346534653,4.0,1
Super built-up  Area,Whitefield,2225.0,3.0,3.0,115.0,3.0,0.051685393258426963,6.0,1
Super built-up  Area,Immadihalli,1180.0,2.0,2.0,48.0,2.0,0.04067796610169491,4.0,0
Super built-up  Area,Banagiri Nagar,1525.0,2.0,3.0,122.0,3.0,0.08,5.0,1
Super built-up  Area,Ananth Nagar,1100.0,2.0,2.0,31.5,2.0,0.028636363636363637,4.0,0
Super built-up  Area,Hiremath Layout,1435.0,3.0,3.0,70.0,3.0,0.04878048780487805,6.0,1
Built-up  Area,Attibele,400.0,1.0,1.0,14.0,1.0,0.035,2.0,0
Super built-up  Area,Dommasandra,1200.0,2.0,2.0,50.0,2.0,0.041666666666666664,4.0,0
Super built-up  Area,Whitefield,1272.0,2.0,1.0,95.05,2.0,0.0747248427672956,4.0,1
Super built-up  Area,Whitefield,1205.0,2.0,1.0,39.0,2.0,0.03236514522821577,4.0,0
Built-up  Area,Kalena Agrahara,980.0,2.0,1.0,40.0,2.0,0.04081632653061224,4.0,0
Super built-up  Area,Malleshpalya,1225.0,2.0,2.0,46.86,2.0,0.03825306122448979,4.0,0
Built-up  Area,Whitefield,1541.0,3.0,1.0,72.0,3.0,0.04672290720311486,6.0,1
Super built-up  Area,Ramagondanahalli,1610.0,2.0,2.0,111.0,3.0,0.06894409937888199,5.0,1
Super built-up  Area,Jalahalli,1694.0,2.0,2.0,125.0,2.0,0.07378984651711924,4.0,1
Plot  Area,Jnanabharathi Layout,600.0,3.0,2.0,75.0,3.0,0.125,6.0,1
Super built-up  Area,Kaggalipura,950.0,2.0,1.0,39.0,2.0,0.04105263157894737,4.0,0
Super built-up  Area,Muneshwara Nagar,1560.0,2.0,3.0,66.0,3.0,0.04230769230769231,5.0,0
Super built-up  Area,Chandapura,1201.0,2.0,2.0,27.0,2.0,0.022481265611990008,4.0,0
Plot  Area,Chandapura,1500.0,2.0,1.0,60.0,2.0,0.04,4.0,0
Super built-up  Area,Malleshpalya,1785.0,3.0,2.0,75.0,3.0,0.04201680672268908,6.0,1
Built-up  Area,Raja Rajeshwari Nagar,1258.0,2.0,1.0,63.53,2.0,0.05050079491255962,4.0,0
Super built-up  Area,Electronic City,910.0,2.0,2.0,42.0,2.0,0.046153846153846156,4.0,0
Super built-up  Area,Thigalarapalya,1297.0,2.0,2.0,112.0,2.0,0.08635312259059368,4.0,1
Super built-up  Area,Kundalahalli,1291.0,2.0,3.0,49.0,2.0,0.037955073586367155,4.0,0
Built-up  Area,Chikkasandra,1070.0,2.0,2.0,42.0,2.0,0.03925233644859813,4.0,0
Super built-up  Area,Varthur,1012.0,2.0,1.0,66.5,2.0,0.06571146245059288,4.0,1
Super built-up  Area,Mahadevpura,1260.0,2.0,3.0,57.6,2.0,0.045714285714285714,4.0,0
Super built-up  Area,Sarjapur  Road,1282.0,2.0,2.0,72.0,2.0,0.056162246489859596,4.0,1
Super built-up  Area,Kanakpura Road,1843.0,3.0,2.0,92.15,3.0,0.05,6.0,1
Plot  Area,Bharath Housing Society Layout,2400.0,3.0,2.0,200.0,4.0,0.08333333333333333,7.0,1
Built-up  Area,Chikka Tirupathi,3356.0,5.0,2.0,105.0,5.0,0.03128724672228844,10.0,1
Super built-up  Area,Hebbal,2790.0,5.0,3.0,198.0,4.0,0.07096774193548387,9.0,1
Super built-up  Area,EPIP Zone,1330.0,2.0,1.0,86.98,2.0,0.06539849624060151,4.0,1
Super built-up  Area,Konanakunte,1400.0,2.0,1.0,73.0,3.0,0.052142857142857144,5.0,1
Built-up  Area,Whitefield,1192.0,2.0,1.0,71.0,2.0,0.05956375838926174,4.0,1
Built-up  Area,3rd Block Jayanagar,1000.0,2.0,1.0,130.0,2.0,0.13,4.0,1
Super built-up  Area,Thigalarapalya,1297.0,2.0,2.0,103.0,2.0,0.07941403238242097,4.0,1
Super built-up  Area,Sarjapur  Road,615.0,1.0,0.0,17.835,1.0,0.029,2.0,0
Super built-up  Area,Vijayanagar,1490.0,3.0,2.0,100.0,3.0,0.06711409395973154,6.0,1
Super built-up  Area,Rayasandra,1373.0,3.0,2.0,72.0,3.0,0.05243991260014567,6.0,1
Super built-up  Area,7th Phase JP Nagar,1035.0,2.0,1.0,41.39,2.0,0.03999033816425121,4.0,0
Plot  Area,Kadugodi,3750.0,4.0,0.0,210.0,4.0,0.056,8.0,1
Super built-up  Area,Doddakallasandra,1010.0,2.0,1.0,40.39,2.0,0.03999009900990099,4.0,0
Built-up  Area,Sarjapur,1195.0,2.0,1.0,42.0,2.0,0.035146443514644354,4.0,0
Super built-up  Area,HSR Layout,1750.0,3.0,2.0,95.0,3.0,0.054285714285714284,6.0,1
Super built-up  Area,Malleshpalya,1052.0,2.0,2.0,50.0,2.0,0.04752851711026616,4.0,0
Super built-up  Area,Horamavu Banaswadi,1180.0,2.0,2.0,58.0,2.0,0.04915254237288136,4.0,0
Built-up  Area,Hormavu,2100.0,3.0,2.0,73.0,3.0,0.034761904761904765,6.0,1
Built-up  Area,Hoodi,2863.0,4.0,1.0,140.0,4.0,0.0488997555012225,8.0,1
Super built-up  Area,Raja Rajeshwari Nagar,1128.0,2.0,2.0,38.24,2.0,0.03390070921985816,4.0,0
Super built-up  Area,JP Nagar,1120.0,2.0,2.0,33.6,2.0,0.030000000000000002,4.0,0
Built-up  Area,HSR Layout,2424.0,3.0,2.0,90.0,3.0,0.03712871287128713,6.0,1
Built-up  Area,Manjunatha Layout,1300.0,2.0,1.0,60.0,2.0,0.046153846153846156,4.0,0
Super built-up  Area,Kanakapura,1090.0,2.0,2.0,32.69,2.0,0.029990825688073392,4.0,0
Plot  Area,Konanakunte Cross,3040.0,1.0,1.0,180.0,2.0,0.05921052631578947,3.0,1
Super built-up  Area,Uttarahalli,1330.0,2.0,2.0,46.55,3.0,0.034999999999999996,5.0,0
Super built-up  Area,Hosur Road,1427.0,2.0,1.0,80.63,3.0,0.056503153468815695,5.0,1
Super built-up  Area,Banjara Layout,1294.0,2.0,2.0,48.0,3.0,0.03709428129829984,5.0,0
Built-up  Area,Begur,1580.0,3.0,2.0,75.0,3.0,0.04746835443037975,6.0,1
Plot  Area,Uttarahalli,400.0,5.0,1.0,200.0,5.0,0.5,10.0,1
Plot  Area,Chikka Tirupathi,1808.0,4.0,2.0,80.27,3.0,0.044397123893805304,7.0,1
Super built-up  Area,Parappana Agrahara,1194.0,2.0,2.0,47.0,2.0,0.03936348408710218,4.0,0
Super built-up  Area,Kanakpura Road,900.0,2.0,1.0,46.0,2.0,0.051111111111111114,4.0,0
Super built-up  Area,Abbaiah Reddy Layout,1310.0,2.0,3.0,50.0,3.0,0.03816793893129771,5.0,0
Super built-up  Area,Kanakpura Road,900.0,2.0,1.0,46.0,2.0,0.051111111111111114,4.0,0
Built-up  Area,Singasandra,3850.0,6.0,3.0,195.0,4.0,0.05064935064935065,10.0,1
Plot  Area,Kogilu,925.0,7.0,3.0,88.0,7.0,0.09513513513513513,14.0,1
Super built-up  Area,Yelachenahalli,2400.0,1.0,1.0,150.0,2.0,0.0625,3.0,1
Super built-up  Area,Koramangala,1290.0,2.0,3.0,100.0,2.0,0.07751937984496124,4.0,1
Built-up  Area,Yelahanka,3770.0,6.0,3.0,110.0,6.0,0.029177718832891247,12.0,1
Super built-up  Area,Lakshmi Layout,1390.0,3.0,1.0,120.0,3.0,0.08633093525179857,6.0,1
Plot  Area,Tavarekere,1200.0,4.0,2.0,72.0,4.0,0.06,8.0,1
Built-up  Area,Bisuvanahalli,845.0,2.0,1.0,33.0,2.0,0.03905325443786982,4.0,0
Super built-up  Area,Yelahanka,1537.0,3.0,3.0,120.0,3.0,0.07807417046193885,6.0,1
Super built-up  Area,Immadihalli,1135.0,2.0,2.0,68.0,2.0,0.05991189427312775,4.0,1
Super built-up  Area,Hoodi,1512.0,3.0,2.0,75.77,3.0,0.05011243386243386,6.0,1
Super built-up  Area,Srinivasa Nagar,900.0,2.0,1.0,55.0,2.0,0.06111111111111111,4.0,0
Super built-up  Area,Jigani,1230.0,3.0,3.0,54.0,3.0,0.04390243902439024,6.0,0
Super built-up  Area,Thirumenahalli,1378.0,2.0,3.0,42.33,3.0,0.03071843251088534,5.0,0
Super built-up  Area,Whitefield,1277.0,2.0,1.0,61.3,2.0,0.04800313234142521,4.0,0
Super built-up  Area,Hebbal,1985.0,4.0,2.0,189.0,3.0,0.09521410579345088,7.0,1
Super built-up  Area,KPC Layout,1210.0,2.0,2.0,62.0,2.0,0.0512396694214876,4.0,0
Super built-up  Area,Yelahanka,890.0,2.0,2.0,40.0,2.0,0.0449438202247191,4.0,0
Plot  Area,Sarjapur,1200.0,5.0,2.0,110.0,4.0,0.09166666666666666,9.0,1
Built-up  Area,Ardendale,3198.0,4.0,3.0,200.0,4.0,0.06253908692933083,8.0,1
Super built-up  Area,HOSUR MAIN ROAD,1464.0,3.0,2.0,56.0,3.0,0.03825136612021858,6.0,0
Super built-up  Area,Hebbal,2483.0,5.0,2.0,215.0,4.0,0.08658880386629078,9.0,1
Plot  Area,Begur,1550.0,4.0,2.0,130.0,4.0,0.08387096774193549,8.0,1
Super built-up  Area,Electronic City,975.0,2.0,2.0,37.5,2.0,0.038461538461538464,4.0,0
Super built-up  Area,Rajiv Nagar,1690.0,3.0,1.0,125.0,3.0,0.07396449704142012,6.0,1
Super built-up  Area,Hosa Road,1063.0,2.0,1.0,31.89,2.0,0.03,4.0,0
Built-up  Area,Daadys Gaarden Layout,1600.0,3.0,0.0,80.0,3.0,0.05,6.0,1
Super built-up  Area,Maruthi Nagar,1250.0,3.0,1.0,39.5,3.0,0.0316,6.0,0
Super built-up  Area,Bommanahalli,520.0,1.0,0.0,19.5,1.0,0.0375,2.0,0
Super built-up  Area,Marathahalli,4000.0,5.0,0.0,212.0,4.0,0.053,9.0,1
Built-up  Area,Munnekollal,1390.0,3.0,2.0,68.0,3.0,0.04892086330935252,6.0,1
Super built-up  Area,Whitefield,1185.0,2.0,2.0,40.0,2.0,0.03375527426160337,4.0,0
Super built-up  Area,Sahakara Nagar,1219.0,2.0,2.0,48.0,2.0,0.03937653814602133,4.0,0
Super built-up  Area,Kudlu Gate,1564.0,2.0,1.0,92.0,3.0,0.058823529411764705,5.0,1
Super built-up  Area,Hosa Road,1100.0,2.0,2.0,37.1,2.0,0.03372727272727273,4.0,0
